"K","sample_ID","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
7,1,83.5850960060697,3099,1027.14337467339,84.1835955895753,0.111648919006131,0.888351080993869,"==",-1.25818136710032
7,2,86.2518649332668,3699,1004.89767692844,87.0009104643255,0.0313598269802649,0.968640173019735,"==",-2.35171405016186
7,3,85.6161142715056,2699,1005.31096885403,86.2039610052541,0.0722489811041126,0.927751018895887,"==",-1.55348983387825
7,4,82.2752305696553,2799,1041.44332116389,82.5755433087741,0.20864594498035,0.79135405501965,"==",-0.68639169752087
7,5,86.2856521877032,3299,1012.79783624887,86.6738441561146,0.106698999696878,0.893301000303122,"==",-1.1961437018126
7,6,83.1007528405093,3299,1008.33445934113,83.1590041624211,0.354349802970597,0.645650197029403,"==",-0.140024376422497
7,7,81.4448839764845,2799,1022.70688634945,81.3474235683023,0.514469453376206,0.485530546623794,"==",0.200319371990832
7,8,85.9696207852519,3299,1026.75562411207,85.7962659491507,0.686268566232192,0.313731433767808,"==",0.564376394057003
7,9,86.1226230790659,2799,1014.71213470348,86.3695962268836,0.189710610932476,0.810289389067524,"==",-0.642943993745797
7,10,78.1239088675323,2299,1039.8974046971,79.2953021416333,0.0313179643323184,0.968682035667682,"==",-2.24658514439155
7,11,83.8792811328432,3199,1023.9636268708,84.0688412479967,0.221944357611754,0.778055642388246,"==",-0.575410870614979
7,12,84.3592155802703,2599,1058.63044242117,84.7065725976208,0.178145440554059,0.821854559445941,"==",-0.819588668887985
7,13,83.5936041935943,2799,1044.8563163051,84.0211700617964,0.120400142908181,0.879599857091819,"==",-1.03401666946138
7,14,83.6748363317744,2499,1002.67186032938,85.4500158107226,0.00520208083233293,0.994797919167667,"==",-4.34861357010194
7,15,83.3071080323682,2699,1020.23382032587,83.4149331140659,0.329751759911078,0.670248240088922,"==",-0.248572804920321
7,16,83.0608659397981,2599,1020.99506368561,83.2413768381481,0.276644863409003,0.723355136590996,"==",-0.398355947927244
7,17,86.2898514152026,3299,1002.57098820162,86.2083477660144,0.531373143376781,0.468626856623219,"==",0.235012490495804
7,18,85.3598751601698,2299,1004.13422738223,85.3272897055397,0.437146585471944,0.562853414528056,"==",0.0756690797361606
7,19,82.5738612633774,3499,1034.30280795994,83.6697934337179,0.0128608173763933,0.987139182623607,"==",-3.13221643997717
7,20,82.6245824178435,2499,1002.67308912322,82.9578884685686,0.221688675470188,0.778311324529812,"==",-0.603808081428732
7,21,85.8321994981383,2799,1032.88712063068,85.5860552119896,0.666309396212933,0.333690603787067,"==",0.551409353435419
7,22,81.7180228215667,3099,1010.35313926005,82.9212354746343,0.0138754436915134,0.986124556308487,"==",-2.8919219342735
7,23,83.2814950320751,2099,1058.42001723374,83.6574444870265,0.156741305383516,0.843258694616484,"==",-0.88207909434488
7,24,84.1677577008668,2999,1025.65098121345,85.5907756568676,0.00333444481493831,0.996665555185062,"==",-3.73814610955848
7,25,82.8524683130473,2599,1000.93882964447,82.8917865301335,0.374374759522893,0.625625240477107,"==",-0.111721712280051
7,26,84.2481385034471,3099,1009.89769277316,85.0802123490714,0.0390448531784447,0.960955146821555,"==",-2.10463580149835
7,27,80.5330894911721,2399,1000.32801687629,80.1252559200675,0.841183826594414,0.158816173405586,"==",0.941367822296673
7,28,82.3038983786717,2299,1038.41578058964,82.4886455055373,0.290126141800783,0.709873858199217,"==",-0.359170459187083
7,29,84.6090416429259,2699,1027.14258443741,85.3200450326381,0.0703964431270841,0.929603556872916,"==",-1.6055890531015
7,30,85.6311372099324,3499,1021.79435758358,85.9754102296983,0.144612746499,0.855387253501,"==",-0.963084969804645
7,31,82.8060565594686,3199,1006.22370541953,84.1690525849541,0.010628321350422,0.989371678649578,"==",-3.19451733228552
7,32,83.6791963977046,3899,1001.25697262985,83.6163786345268,0.509874326750449,0.490125673249551,"==",0.192792967617515
7,33,83.5299564695226,2999,1011.06313400637,84.6632157626685,0.0113371123707903,0.98866288762921,"==",-3.40788421477966
7,34,85.0023926927773,3299,1040.19918044523,85.2462218967553,0.159745377387087,0.840254622612913,"==",-0.823753141185268
7,35,84.8018299580596,2999,1000.02093336279,84.7127333254766,0.496165388462821,0.503834611537179,"==",0.2340419101511
7,36,87.5149949039752,2799,1029.42092714477,87.8707492842802,0.152554483744194,0.847445516255806,"==",-0.895665655367254
7,37,84.2456197492701,2599,1070.03598717482,85.2500356745216,0.0284724894190073,0.971527510580993,"==",-2.39515832056769
7,38,86.557771755597,3799,1009.74662385831,86.3014325831194,0.930508028428534,0.0694919715714662,"==",1.04138065346673
7,39,83.9799723325271,2499,1003.29762354808,83.9399724518834,0.453781512605042,0.546218487394958,"==",0.103272331709168
7,40,85.152419518643,3599,1013.30741865755,85.3138548786663,0.232842456237844,0.767157543762156,"==",-0.537895743912022
7,41,79.0916186528197,2299,1012.11572310406,79.7620411103485,0.0787298825576338,0.921270117442366,"==",-1.61474864075174
7,42,82.8568316825444,2799,1033.42142875126,82.9226425581548,0.371918542336549,0.628081457663451,"==",-0.152852821550935
7,43,86.6078257178025,3799,1022.65406313172,87.3006397700878,0.0465912082126876,0.953408791787312,"==",-1.94480655408617
7,44,85.1436227835269,4199,1008.03392260826,84.9178191658991,0.754227196951655,0.245772803048345,"==",0.722160617811216
7,45,83.685829164963,3199,1010.32718613896,84.7714702132669,0.015942482025633,0.984057517974367,"==",-2.6775347380938
7,46,83.5185846186803,2799,1089.60429790352,83.4612840497337,0.45944980350125,0.54055019649875,"==",0.116710797560215
7,47,77.4259770362544,2399,1037.98418707997,79.3316714680857,0.00208420175072947,0.997915798249271,"==",-4.00258364953939
7,48,83.9631742762351,2799,1005.16421643844,85.998985801322,0.00178635226866738,0.998213647731333,"==",-5.30897617014163
7,49,84.9314624554199,2799,1065.65492515994,85.2563590250074,0.176491604144337,0.823508395855663,"==",-0.856753002562435
7,50,85.0572607543668,2899,1026.96949498522,85.5233919858156,0.0910658847878579,0.908934115212142,"==",-1.36166606256403
7,51,83.5884937742471,2299,1010.50905017484,83.9760253002834,0.180513266637669,0.819486733362331,"==",-0.776501196618925
7,52,82.4475449049558,2799,1006.75912456465,82.7884385368104,0.190782422293676,0.809217577706324,"==",-0.793347262558033
7,53,83.2508105545658,2599,1020.39730263332,84.552681265969,0.0173143516737207,0.982685648326279,"==",-2.73051230928442
7,54,84.1853234573932,2999,1000.99797933396,84.033059505831,0.565855285095032,0.434144714904968,"==",0.341501978109354
7,55,81.339019388075,3099,1025.55865495438,81.5648530636289,0.285253307518554,0.714746692481446,"==",-0.430486069008611
7,56,82.2435698978033,2299,1028.16977588762,82.4811963889897,0.254458460200087,0.745541539799913,"==",-0.524158759378337
7,57,83.3747169771214,3099,1044.84506783091,84.4374608781312,0.0248467247499193,0.975153275250081,"==",-2.59232787271222
7,58,85.7517212244553,4499,1005.03034299936,85.3502438064776,0.897755056679262,0.102244943320738,"==",1.05971897841677
7,59,86.1321018580769,3099,1012.87796891403,86.4668776603381,0.146821555340432,0.853178444659568,"==",-0.989043278863769
7,60,80.733234551531,3099,1003.29981583257,80.3846304055458,0.718296224588577,0.281703775411423,"==",0.66674892834603
