"archipelago_ID","sample_ID","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
9,1,76.3399594033646,1999,1031.15203085282,78.9193853141562,0.00250125062531266,0.997498749374687,"==",-3.68880840479716
9,2,76.3611797644771,2599,1040.77355628055,78.0336642067297,0.0150057714505579,0.984994228549442,"==",-2.70469178240834
9,3,75.100610442174,1899,1019.25356910359,77.4047664378221,0.00368615060558189,0.996313849394418,"==",-3.24876940811185
9,4,71.4894210492694,2099,1006.85401817655,73.8772339590335,0.00333492139113864,0.996665078608861,"==",-3.359099244387
9,5,81.147272498846,1999,1049.89156562805,81.5857123949848,0.149074537268634,0.850925462731366,"==",-0.852412622300917
9,6,76.9096078372591,1999,1001.73500933537,78.445656915967,0.0155077538769385,0.984492246123062,"==",-2.6743884729123
9,7,75.4547427084539,2499,1050.18837557044,77.8147778419496,0.0040016006402561,0.995998399359744,"==",-3.48740930865103
9,8,73.0360470483629,2099,1003.44107659942,76.8063075886961,0.000476417341591234,0.999523582658409,"<",-5.63838122342022
9,9,71.2371206352959,2199,1042.56163467736,73.9337085456722,0.00318326512050932,0.996816734879491,"==",-3.64079557976252
9,10,75.5583426747146,2099,1026.3733371766,78.6144796015463,0.000476417341591234,0.999523582658409,"<",-5.03739034667343
9,11,69.813926898078,2299,1015.47070055761,71.2550262087838,0.0500217485863419,0.949978251413658,"==",-1.82938554643537
9,12,69.8855053596582,2099,1034.40612368276,74.2022313415767,0.000476417341591234,0.999523582658409,"<",-4.99851779933788
9,13,70.5579124647463,1899,1028.96568086754,75.7015201756116,0.000526592943654555,0.999473407056345,"<",-6.89801589612481
9,14,75.4991538516617,1999,1033.49993865624,77.9860003015355,0.000500250125062531,0.999499749874938,"==",-4.48411869666424
9,15,73.0876006795195,1899,1005.96417031102,76.0691561598459,0.00105318588730911,0.998946814112691,"==",-4.0631690560153
9,16,70.4694270737603,2299,1063.85639428087,73.0143667517172,0.0039147455415398,0.99608525445846,"==",-3.29457191285806
9,17,76.4543284237199,2199,1029.01299284562,78.0282006330436,0.0304683947248749,0.969531605275125,"==",-2.29710930790508
9,18,71.3882023110524,1999,1010.38922272578,74.908443482969,0.000500250125062531,0.999499749874938,"<",-4.84697739001361
9,19,76.9738419590422,2299,1026.90252995765,78.4047927176106,0.0287081339712919,0.971291866028708,"==",-2.28613822037868
9,20,77.3740301344905,2299,1011.88398059366,79.4493619675132,0.00130491518051327,0.998695084819487,"==",-4.04789858047941
9,21,74.6168834428959,1699,1046.83345968727,77.7415491697672,0.000588581518540318,0.99941141848146,"<",-4.14563913803391
9,22,76.3942029641064,1799,1016.60406047096,79.1168750507745,0.00333518621456365,0.996664813785436,"==",-3.55935837596739
9,23,77.0909140955562,2299,1000.73177935055,79.0968551881887,0.00826446280991736,0.991735537190083,"==",-3.04043383165183
9,24,73.1571524325292,2199,1079.53759601998,74.8851350214426,0.0263756252842201,0.97362437471578,"==",-2.2458541685604
9,25,71.2495384728216,2199,1037.31654622471,75.3375427883411,0.00045475216007276,0.999545247839927,"<",-5.5554620988461
9,26,76.7099553677948,1999,1034.63703922378,79.6212598094789,0.00100050025012506,0.998999499749875,"==",-4.3612612250983
9,27,77.3916523687858,1999,1020.52703380994,78.4907202173416,0.0810405202601301,0.91895947973987,"==",-1.54989278126456
9,28,69.9824773127195,2099,1027.64411806773,72.6518711962549,0.00333492139113864,0.996665078608861,"==",-3.43863755486314
9,29,76.4455657916016,1899,1010.72299634715,76.8637375618513,0.253291205897841,0.746708794102159,"==",-0.655047388399024
9,30,72.0453844513345,2099,1026.34148759612,72.1074629622704,0.41686517389233,0.58313482610767,"==",-0.0863038742056919
1,1,75.926355874441,2099,1004.51124248765,75.4536870906219,0.700333492139114,0.299666507860886,"==",0.654854441479518
1,2,79.3452301877749,1799,1040.16499403309,79.2980731951376,0.455808782657032,0.544191217342968,"==",0.0672979263926642
1,3,75.0237755581418,1899,1032.20947888449,76.4332981164773,0.0521327014218009,0.947867298578199,"==",-1.88620114270002
1,4,78.6590174188858,1899,1037.18166528209,78.3997504106859,0.586624539231174,0.413375460768826,"==",0.365048079606469
1,5,78.3820270556177,2399,1049.1702716485,78.8748793503711,0.219674864526886,0.780325135473114,"==",-0.724159270895112
1,6,78.4786281162227,1999,1039.01395917061,78.9688426848403,0.232116058029014,0.767883941970986,"==",-0.65706901490987
1,7,77.5039009058002,1899,1002.41576612394,79.5117269386001,0.0168509741969458,0.983149025803054,"==",-2.72163328751165
1,8,78.565175478507,2099,1021.50133027512,79.3870244424486,0.151024297284421,0.848975702715579,"==",-1.05503163973895
1,9,74.9693891889902,1899,1011.53736499589,76.3733293038829,0.0510795155344918,0.948920484465508,"==",-1.81582056271388
1,10,69.3208827653266,1999,1008.91067020557,71.2267242319785,0.0130065032516258,0.986993496748374,"==",-2.62278766606259
1,11,79.4000046411898,1999,1000.32642689856,80.7265402109437,0.0580290145072536,0.941970985492746,"==",-1.80090109604729
1,12,71.2368061727112,2099,1023.11940995816,73.9460554913436,0.00428775607432111,0.995712243925679,"==",-3.13771087724634
1,13,75.900742419432,1799,1031.97572625077,76.7823019190779,0.0972762645914397,0.90272373540856,"==",-1.32877710425704
1,14,75.1876958261191,1999,1045.70455742478,76.1169339892915,0.131565782891446,0.868434217108554,"==",-1.16194795368517
1,15,72.3690321364774,1399,1377.32070934385,74.6742404464339,0.0121515368120086,0.987848463187991,"==",-2.62216106074628
1,16,71.703380199734,1899,1016.40530476432,75.2705806390221,0.000526592943654555,0.999473407056345,"==",-4.21648373721871
1,17,78.0570098823875,2399,1054.33584795585,77.5734058857456,0.725302209253856,0.274697790746144,"==",0.675059761402624
1,18,74.8139529715932,1699,1043.85853394195,77.1217300271853,0.00882872277810477,0.991171277221895,"==",-2.92607694353904
1,19,77.7032052112054,1999,1027.52233429218,78.1687704032552,0.237618809404702,0.762381190595298,"==",-0.636398407601206
1,20,72.5150619452144,1699,1001.48856686914,72.3237443353934,0.546792230723955,0.453207769276045,"==",0.205454325015541
1,21,74.827347271374,2099,1049.18809295294,75.0877015215457,0.30871843735112,0.69128156264888,"==",-0.372385776914825
1,22,69.5180071974168,1999,1044.18963840388,71.6406460496712,0.0125062531265633,0.987493746873437,"==",-2.64569920117145
1,23,73.5636563882046,1999,1021.05053636942,76.0036533749819,0.00500250125062531,0.994997498749375,"==",-2.98764348495186
1,24,80.2526999368396,2199,1037.46589053281,80.4080596547805,0.346975898135516,0.653024101864484,"==",-0.267573495984831
1,25,72.1338968408627,1899,1043.97701947121,74.1536861047345,0.00947867298578199,0.990521327014218,"==",-2.62503375950933
1,26,75.1093126793407,1899,1041.15234309943,74.9188550608823,0.56766719325961,0.43233280674039,"==",0.290208919016846
1,27,81.7635633024705,2199,1028.82366178161,81.1853819733941,0.814461118690314,0.185538881309686,"==",0.874917775426552
1,28,81.2884191635269,1999,1030.28784148617,81.2225315266534,0.462231115557779,0.537768884442221,"==",0.0947155172631413
1,29,72.7127180434109,2399,1043.62892783765,73.4990604895495,0.12588578574406,0.87411421425594,"==",-1.16894023048434
1,30,71.3941619322444,1899,1032.02192639868,74.3921968288132,0.00210637177461822,0.997893628225382,"==",-3.54754874433516
